"","V1","V2"
"456",126,82
"457",82,141
"458",141,8
"459",8,56
"460",56,129
"461",129,30
"462",30,164
"463",164,116
"464",116,49
"465",49,99
"466",99,1
"467",1,88
"468",88,29
"469",29,139
"470",139,176
"471",176,100
"472",100,166
"473",166,109
"474",109,36
"475",36,161
"476",161,28
"477",28,100
"478",100,40
"479",40,145
"480",145,97
"481",97,38
"482",38,163
"483",163,35
"484",35,108
"485",108,156
"486",156,101
"487",101,7
"488",7,86
"489",86,145
"490",145,32
"491",32,152
"492",152,75
"493",75,3
"494",3,42
"495",42,96
"496",96,146
"497",146,58
"498",58,11
"499",11,144
"500",144,98
"501",98,46
"502",46,89
"503",89,164
"504",164,101
"505",101,162
"506",162,110
"507",110,62
"508",62,16
"509",16,152
"510",152,20
"511",20,149
"512",149,92
"513",92,40
"514",40,143
"515",143,78
"516",78,177
"517",177,124
"518",124,44
"519",44,118
"520",118,60
"521",60,125
"522",125,175
"523",175,110
"524",110,47
"525",47,148
"526",148,73
"527",73,21
"528",21,111
"529",111,61
"530",61,160
"531",160,30
"532",30,167
"533",167,65
"534",65,127
"535",127,173
"536",173,52
"537",52,103
"538",103,169
"539",169,39
"540",39,146
"541",146,74
"542",74,25
"543",25,156
"544",156,85
"545",85,137
"546",137,62
"547",62,108
"548",108,154
"549",154,18
"550",18,140
"551",140,84
"552",84,18
"553",18,93
"554",93,132
"555",132,0
"556",0,45
"557",45,118
"558",118,78
"559",78,163
"560",163,106
"561",106,59
"562",59,166
"563",166,31
"564",31,169
"565",169,47
"566",47,143
"567",143,76
"568",76,145
"569",145,68
"570",68,149
"571",149,46
"572",46,179
"573",179,73
"574",73,26
"575",26,145
"576",145,104
"577",104,143
"578",143,89
"579",89,6
"580",6,54
"581",54,171
"582",171,115
"583",115,13
"584",13,152
"585",152,72
"586",72,27
"587",27,84
"588",84,130
"589",130,95
"590",95,12
"591",12,73
"592",73,137
"593",137,5
"594",5,123
"595",123,0
"596",0,116
"597",116,76
"598",76,148
"599",148,17
"600",17,63
"601",63,114
"602",114,57
"603",57,124
"604",124,49
"605",49,120
"606",120,67
"607",67,166
"608",166,97
"609",97,51
"610",51,100
"611",100,22
"612",22,131
"613",131,9
"614",9,113
"615",113,162
"616",162,25
"617",25,103
"618",103,30
"619",30,82
"620",82,133
"621",133,179
"622",179,40
"623",40,89
"624",89,135
"625",135,90
"626",90,45
"627",45,150
"628",150,21
"629",21,132
"630",132,16
"631",16,110
"632",110,68
"633",68,158
"634",158,113
